date | value
2010-01-04 | 776
2010-01-17 | 664.66
2010-01-18 | 722.15
2010-01-24 | 567.54
2010-02-01 | 390.71
2010-02-11 | 901.52
2010-02-24 | 170
2010-03-01 | 969.34
2010-03-16 | 515.34
2010-04-01 | 659
2010-04-10 | 379
2010-04-13 | 889
2011-04-17 | 640
2011-04-23 | 90
2011-05-01 | 723
2011-05-15 | 159
2011-05-18 | 494.87
2011-06-01 | 193
2011-06-11 | 181
2011-06-22 | 497
2011-07-01 | 623.94
2011-07-16 | 105
2011-07-18 | 887.34
2011-07-27 | 572
2012-08-01 | 268.35
2012-08-08 | 217.31
2012-08-09 | 954.84
2012-08-10 | 912.7
2012-08-17 | 331.48
2012-08-26 | 930.58
2012-09-01 | 935.59
2012-09-13 | 642.69
2012-09-24 | 716.55
2012-10-01 | 286
2012-10-15 | 25.56
2012-10-21 | 382.49
2013-10-23 | 178.66
2013-11-01 | 388
2013-11-15 | 3.54
2013-11-25 | 680.45
2013-12-01 | 479
2013-12-11 | 110
2013-12-12 | 173
2013-12-18 | 308
2014-01-01 | 295
2014-01-16 | 856
2014-02-01 | 150
2014-02-06 | 174
2015-02-19 | 431
2015-02-21 | 51.68
2015-02-26 | 206.98
2015-03-01 | 400
2015-03-14 | 466
2015-03-25 | 318
2015-04-01 | 217
2015-04-12 | 353.67
2015-04-17 | 818
2015-04-28 | 417
2015-05-01 | 502
2015-05-10 | 727.39
2016-05-12 | 770.88
2016-05-15 | 859
2016-05-22 | 619.77
2016-06-01 | 947.93
2016-06-08 | 439.07
2016-06-18 | 425
2016-06-27 | 105
2016-07-01 | 23.99
2016-07-08 | 830.37
2016-07-09 | 446.26
2016-07-22 | 496
2016-07-23 | 264
2017-07-28 | 911.86
2017-08-01 | 234
2017-08-13 | 607
2017-08-17 | 719.76
2017-08-25 | 401.04
2017-09-01 | 478.07
2017-09-03 | 362.78
2017-09-04 | 943
2017-09-17 | 420.78
2017-09-27 | 506.8
2017-09-28 | 224.49
2017-10-01 | 189
2018-10-03 | 745
2018-10-07 | 427
2018-10-19 | 276.94
2018-10-20 | 746
2018-11-01 | 735
2018-11-14 | 410
2018-11-26 | 638
2018-12-01 | 857.33
2018-12-08 | 797
2018-12-20 | 85
2018-12-27 | 939.02
2019-01-01 | 668
2020-01-13 | 602.21
2020-01-14 | 718
2020-01-16 | 834
2020-01-28 | 22.16
2020-02-01 | 255.86
2020-02-02 | 283.4
2020-02-08 | 873.26
2020-02-09 | 264.36
2020-02-16 | 192.8
2020-03-01 | 529
2020-03-04 | 579.78
2020-03-05 | 159.12
2021-03-12 | 777
2021-03-25 | 432.2
2021-04-01 | 725
2021-04-09 | 674.02
2021-04-12 | 842.57
2021-04-23 | 627
2021-05-01 | 64
2021-05-08 | 834
2021-05-13 | 767
2021-05-26 | 491.36
2021-06-01 | 888.02
2021-06-14 | 623.14
2022-06-24 | 114.2
2022-06-27 | 458
2022-07-01 | 453.32
2022-07-08 | 472.79
2022-07-13 | 467.69
2022-07-26 | 213.53
2022-08-01 | 349.21
2022-08-15 | 153
2022-08-17 | 430.39
2022-09-01 | 566.78
2022-09-02 | 908.28
2022-09-10 | 12
2023-09-14 | 257.58
2023-09-22 | 749.09
2023-10-01 | 449.64
2023-10-14 | 753
2023-10-25 | 715
2023-10-27 | 187.84
2023-11-01 | 278
2023-11-09 | 238
2023-11-21 | 188
2023-12-01 | 853
2023-12-10 | 991
2023-12-14 | 237.94
